run_date,term,author,posts
2026-06-22,covid,PLUTO_HAS_COME_BACK,1
2026-06-22,covid,stillwaitingforbacon,1
2026-06-22,covid,factsnack,1
2026-06-22,covid,s3-ap-southeast-2.amazonaws.com,1
2026-06-22,covid,hotdoc.com.au,1
2026-06-22,covid,healthhub.hif.com.au,1
2026-06-22,covid,emphn.org.au,1
2026-06-22,covid,wataganparkpharmacy.com,1
2026-06-22,covid,cairnspost.com.au,1
2026-06-22,covid flu,The Midnight Pharmacy,2
2026-06-22,covid flu,TerryWhite Chemmart Paragon ,1
2026-06-22,covid flu,cairnspost.com.au,1
2026-06-22,covid vaccination,loopfission,3
2026-06-22,covid vaccination,McCullough Foundation,1
